Age,Sex,Race,Zip Code,# years in Zip Code,Living Arrangement,# of housing units,Communte to school (hours),Household income,Education,How often you spend\nleisure time with family,How often you spend leisure time with friends,How often you spend leisure time with neighbors,How often you spend leisure time with coworkers,# family members you spend time with regularly within 15 minutes (driving),# friends you spend time with regularly within 15 minutes (driving),# neighbors you spend time with regularly within 15 minutes (driving),#  coworkers you spend time with regularly within 15 minutes (driving),"Level of agreement with: ""I consider myself a social person""","Level of agreement with: ""When I have free time, I generally like to spend it with other people""","Level of agreement with: ""I feel like I have a strong social circle in my geographic proximity.""","Level of agreement with: ""The place where I live has a strong sense of community""","Level of agreement with: ""I am interested in being a part of or helping build community where I live.""","Level of agreement with: ""I would be sorry to move away from the people I spend time with here."""
34,Male,White (non-hispanic),46184,2,"With spouse, significant other, and/or children",1,0.2,82,Four-year college,At least once a week,Less often,About once a month,Daily,0,0,0,2,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree
34,Female,White (non-hispanic),27863,6,"With spouse, significant other, and/or children",1,0.5,89,Master's or post-graduate professional degree,At least once a week,At least once a week,A few times a month,Daily,10,5,3,7,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
34,Female,White (non-hispanic),48060,13,"With spouse, significant other, and/or children",1,0.4,68,Four-year college,At least once a week,At least once a week,Daily,Daily,0,5,3,10,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
34,Male,White (non-hispanic),68124,6,Living alone,1,0.3,56,Four-year college,At least once a week,At least once a week,About once a month,At least once a week,1,0,2,0,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree
34,Male,"White (non-hispanic),American Indian or Alaska Native",63640,2,"With spouse, significant other, and/or children",3,0,18,Some college/associate's degree,Less often,A few times a month,Less often,Less often,0,2,0,0,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
34,Female,White (non-hispanic),1452,9,"With spouse, significant other, and/or children",2,0,99,Some college/associate's degree,About once a month,Less often,Less often,Less often,2,3,2,0,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree
34,Female,White (non-hispanic),80504,1,"With spouse, significant other, and/or children",1,0,131,Four-year college,Less often,Daily,At least once a week,Less often,0,6,2,0,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree
34,Female,White (non-hispanic),92056,2,"With spouse, significant other, and/or children",5+,0.3,201,Four-year college,Less often,About once a month,Less often,Less often,0,0,0,0,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree
34,Male,White (non-hispanic),4042,18,With roommates,1,0,28,Some college/associate's degree,About once a month,About once a month,About once a month,About once a month,1,1,1,1,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
34,Male,White (non-hispanic),14020,31,With other family,1,0,90,Some college/associate's degree,Less often,Less often,Less often,Less often,0,4,0,0,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
33,Male,White (non-hispanic),87401,1,Living alone,1,0.1,75,Four-year college,Less often,About once a month,Less often,A few times a month,0,0,0,2,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree
33,Female,White (non-hispanic),92110,4,Other (please specify),1,0.5,19,Some college/associate's degree,Less often,Less often,Less often,Less often,0,0,0,0,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
33,Male,White (non-hispanic),33880,20,Living alone,2,2,178,Master's or post-graduate professional degree,Daily,Daily,Daily,Daily,1,1,1,1,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
33,Male,White (non-hispanic),43213,3,"With spouse, significant other, and/or children",1,0.5,24,Some college/associate's degree,A few times a month,A few times a month,Less often,About once a month,3,1,10,2,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
33,Female,White (non-hispanic),78414,2,"With spouse, significant other, and/or children",1,0,99,Four-year college,Less often,A few times a month,About once a month,Less often,0,2,2,0,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree
33,Male,White (non-hispanic),87111,20,Living alone,1,1.8,170,Four-year college,At least once a week,At least once a week,Daily,At least once a week,1,1,2,4,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
33,Female,White (non-hispanic),28906,9,Living alone,1,1,36,Four-year college,At least once a week,A few times a month,Daily,Daily,4,3,2,4,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree
33,Female,Asian,77080,2,With other family,1,0,183,Four-year college,At least once a week,About once a month,Less often,Less often,2,2,0,0,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree
33,Male,White (non-hispanic),6457,1,"With spouse, significant other, and/or children",1,0.3,93,Some college/associate's degree,About once a month,At least once a week,Less often,Daily,0,5,5,1,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree
33,Female,White (non-hispanic),7041,26,With other family,1,0.5,294,Four-year college,A few times a month,A few times a month,About once a month,About once a month,10,0,1,0,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
33,Female,White (non-hispanic),49525,13,"With spouse, significant other, and/or children",5+,0.4,37,Some college/associate's degree,Less often,About once a month,Less often,Less often,15,6,2,4,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree
33,Female,White (non-hispanic),92410,20,Living alone,1,0.3,30,Some college/associate's degree,About once a month,A few times a month,Less often,Less often,2,4,0,1,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
33,Female,White (non-hispanic),75038,3,With roommates,5+,0,70,Some college/associate's degree,Less often,About once a month,Less often,Less often,1,0,0,0,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree
33,Male,American Indian or Alaska Native,99001,12,"With spouse, significant other, and/or children",1,0.5,65,Some college/associate's degree,Less often,About once a month,Less often,Less often,0,4,4,5,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree
33,Female,Black or African American,45680,33,Living alone,5+,0.4,60,Master's or post-graduate professional degree,Less often,Less often,Less often,Less often,1,5,3,2,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
33,Female,White (non-hispanic),17569,9,Living alone,1,0.4,34,Some college/associate's degree,Less often,About once a month,Less often,Less often,0,10,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree
33,Female,White (non-hispanic),45013,10,Living alone,1,0.5,44,Four-year college,Less often,At least once a week,Less often,About once a month,0,1,0,0,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
33,Female,White (non-hispanic),26142,5,"With spouse, significant other, and/or children",1,0,19,Some high school or less,Less often,Less often,Less often,Less often,0,0,0,0,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree
33,Female,White (non-hispanic),55412,7,With other family,1,0,80,Four-year college,Less often,At least once a week,Less often,A few times a month,2,2,4,1,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree
33,Male,White (non-hispanic),19810,30,"With spouse, significant other, and/or children",1,0.1,40,Master's or post-graduate professional degree,At least once a week,A few times a month,About once a month,At least once a week,0,0,1,30,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree
33,Male,Hispanic,90250,28,With other family,1,0.4,15,High school,Less often,About once a month,Less often,Daily,2,3,0,4,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree
33,Male,"White (non-hispanic),Hispanic,Asian",2140,3,"With spouse, significant other, and/or children",5+,0.1,99,Master's or post-graduate professional degree,Less often,About once a month,Less often,A few times a month,0,5,10,16,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
33,Female,White (non-hispanic),41472,33,Living alone,1,0.5,10,Some college/associate's degree,About once a month,A few times a month,Less often,Less often,6,2,4,0,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
33,Female,White (non-hispanic),47274,33,With other family,1,0.2,40,Some college/associate's degree,About once a month,Less often,A few times a month,Less often,3,0,1,0,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree
33,Female,White (non-hispanic),72113,1,Other (please specify),4,0.3,40,Four-year college,Less often,Daily,Daily,Daily,0,4,4,0,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
33,Female,Black or African American,29732,12,"With spouse, significant other, and/or children",1,0.5,32,Master's or post-graduate professional degree,A few times a month,Less often,Less often,Less often,3,0,0,0,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
33,Female,Other,77024,12,With roommates,1,0,25,Four-year college,Less often,A few times a month,Less often,Less often,0,10,0,0,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
32,Female,White (non-hispanic),16510,8,"With spouse, significant other, and/or children",1,1,456,Four-year college,At least once a week,At least once a week,About once a month,About once a month,4,2,2,1,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree
32,Male,White (non-hispanic),40965,28,Living alone,1,0.4,30,Some college/associate's degree,A few times a month,At least once a week,At least once a week,Daily,0,2,5,0,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
32,Female,White (non-hispanic),21742,32,With other family,1,0.2,50,Four-year college,Less often,At least once a week,Less often,About once a month,0,4,0,0,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree
32,Female,White (non-hispanic),38401,15,"With spouse, significant other, and/or children",3,0,41,Some college/associate's degree,Daily,Daily,Daily,Daily,5,0,2,0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
32,Female,"Hispanic,Black or African American",7065,32,"With spouse, significant other, and/or children",1,1,92,Four-year college,A few times a month,At least once a week,About once a month,A few times a month,4,2,3,3,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
32,Male,White (non-hispanic),54487,6,"With spouse, significant other, and/or children",1,0.5,104,Four-year college,About once a month,A few times a month,Less often,About once a month,2,8,3,2,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree
32,Female,White (non-hispanic),83607,8,"With spouse, significant other, and/or children",1,0,92,Some college/associate's degree,A few times a month,A few times a month,A few times a month,A few times a month,4,2,4,2,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree
32,Female,White (non-hispanic),56303,2,Living alone,1,0.3,25,Some college/associate's degree,About once a month,About once a month,Less often,Less often,0,0,0,0,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree
32,Male,White (non-hispanic),98121,3,With other family,5+,0,71,Four-year college,About once a month,Less often,Less often,Less often,0,0,0,0,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree
32,Female,White (non-hispanic),49266,6,Living alone,1,0.1,45,Four-year college,Daily,A few times a month,A few times a month,Daily,5,0,6,1,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree
